code,grade,domain,cluster,requirement,pdf_page
5.NBT.6,5,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"6. Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",P35
5.NBT.7,5,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"7. Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",P35
5.NF.1,5,Number and Operations—Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,1. Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators.,P36
5.NF.2,5,Number and Operations—Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"2. Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators,",P36
5.NF.3,5,Number and Operations—Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"3. Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers,","P36, 37"
5.NF.4,5,Number and Operations—Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"4. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction. a. Interpret the product (a/b) × q as a parts of a partition of q into b equal parts; equivalently, as the result of a sequence of operations a × q ÷ b. b. Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths to find areas of rectangles, and represent fraction products as rectangular areas.","P36, 37"
5.NF.5,5,Number and Operations—Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"5. Interpret multiplication as scaling (resizing), by: a. Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication. b. Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence a/b = (n×a)/(n×b) to the effect of multiplying a/b by 1.","P36, 37"
5.NF.6,5,Number and Operations—Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"6. Solve real world problems involving multiplication of fractions and mixed numbers,","P36, 37"
5.NF.7,5,Number and Operations—Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"7. Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions. a. Interpret division of a unit fraction by a non-zero whole number, and compute such quotients. b. Interpret division of a whole number by a unit fraction, and compute such quotients. c. Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions,","P36, 37"
5.MD.1,5,Measurement and Data,Convert like measurement units within a given measurement system.,"1. Convert among different-sized standard measurement units within a given measurement system, and use these conversions in solving multi-step, real world problems.",P37
5.MD.2,5,Measurement and Data,Represent and interpret data.,"2. Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots.",P37
5.MD.3,5,Measurement and Data,Geometric measurement: understand concepts of volume and relate volume to multiplication and to addition.,"3. Recognize volume as an attribute of solid figures and understand concepts of volume measurement. a. A cube with side length 1 unit, called a “unit cube,” is said to have “one cubic unit” of volume, and can be used to measure volume. b. A solid figure which can be packed without gaps or overlaps using n unit cubes is said to have a volume of n cubic units.",P37
5.MD.4,5,Measurement and Data,Geometric measurement: understand concepts of volume and relate volume to multiplication and to addition.,"4. Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",P37
5.MD.5,5,Measurement and Data,Geometric measurement: understand concepts of volume and relate volume to multiplication and to addition.,"5. Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume. a. Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold whole-number products as volumes, b. Apply the formulas V = l × w × h and V = b × h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real world and mathematical problems. c. Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems.",P37
5.G.1,5,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"1. Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond.",P38
5.G.2,5,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"2. Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",P38
5.G.3,5,Geometry,Classify two-dimensional figures into categories based on their properties.,3. Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category.,P38
5.G.4,5,Geometry,Classify two-dimensional figures into categories based on their properties.,4. Classify two-dimensional figures in a hierarchy based on properties.,P38
6.RP.1,6,Ratios and Proportional Relationships,Understand ratio concepts and use ratio reasoning to solve problems.,1. Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.,P42
6.RP.2,6,Ratios and Proportional Relationships,Understand ratio concepts and use ratio reasoning to solve problems.,"2. Understand the concept of a unit rate a/b associated with a ratio a:b with b ≠ 0, and use rate language in the context of a ratio relationship.",P42
6.RP.3,6,Ratios and Proportional Relationships,Understand ratio concepts and use ratio reasoning to solve problems.,"3. Use ratio and rate reasoning to solve real-world and mathematical problems, a. Make tables of equivalent ratios relating quantities with whole-number measurements, find missing values in the tables, and plot the pairs of values on the coordinate plane. Use tables to compare ratios. b. Solve unit rate problems including those involving unit pricing and constant speed. c. Find a percent of a quantity as a rate per 100; solve problems involving finding the whole, given a part and the percent. d. Use ratio reasoning to convert measurement units; manipulate and transform units appropriately when multiplying or dividing quantities.",P42
6.NS.1,6,The Number System,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.,"1. Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions,",P42
6.NS.2,6,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,2. Fluently divide multi-digit numbers using the standard algorithm.,P42
6.NS.3,6,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,"3. Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.",P42
6.NS.4,6,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,4. Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor.,P42
6.NS.5,6,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,"5. Understand that positive and negative numbers are used together to describe quantities having opposite directions or values; use positive and negative numbers to represent quantities in real-world contexts, explaining the meaning of 0 in each situation.",P43
6.NS.6,6,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,"6. Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates. a. Recognize opposite signs of numbers as indicating locations on opposite sides of 0 on the number line; recognize that the opposite of the opposite of a number is the number itself, b. Understand signs of numbers in ordered pairs as indicating locations in quadrants of the coordinate plane; recognize that when two ordered pairs differ only by signs, the locations of the points are related by reflections across one or both axes. c. Find and position integers and other rational numbers on a horizontal or vertical number line diagram; find and position pairs of integers and other rational numbers on a coordinate plane.",P43
6.NS.7,6,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,"7. Understand ordering and absolute value of rational numbers. a. Interpret statements of inequality as statements about the relative position of two numbers on a number line diagram. b. Write, interpret, and explain statements of order for rational numbers in real-world contexts. c. Understand the absolute value of a rational number as its distance from 0 on the number line; interpret absolute value as magnitude for a positive or negative quantity in a real-world situation. d. Distinguish comparisons of absolute value from statements about order.",P43
6.NS.8,6,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,8. Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.,P43
6.EE.1,6,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,1. Write and evaluate numerical expressions involving whole-number exponents.,"P43, 44"
6.EE.2,6,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"2. Write, read, and evaluate expressions in which letters stand for numbers. a. Write expressions that record operations with numbers and with letters standing for numbers. b. Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity. c. Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).","P43, 44"
6.EE.3,6,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,3. Apply the properties of operations to generate equivalent expressions.,"P43, 44"
6.EE.4,6,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"4. Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).","P43, 44"
6.EE.5,6,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"5. Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",P44
6.EE.6,6,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"6. Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",P44
6.EE.7,6,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"7. Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.",P44
6.EE.8,6,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,8. Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,P44
6.EE.9,6,Expressions and Equations,Represent and analyze quantitative relationships between dependent and independent variables.,"9. Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.",P44
6.G.1,6,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.","1. Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems.","P44, 45"
6.G.2,6,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.","2. Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = l w h and V = b h to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems.","P44, 45"
6.G.3,6,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.",3. Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.,"P44, 45"
6.G.4,6,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.","4. Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems.","P44, 45"
6.SP.1,6,Statistics and Probability,Develop understanding of statistical variability.,1. Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers.,P45
6.SP.2,6,Statistics and Probability,Develop understanding of statistical variability.,"2. Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape.",P45
6.SP.3,6,Statistics and Probability,Develop understanding of statistical variability.,"3. Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number.",P45
6.SP.4,6,Statistics and Probability,Summarize and describe distributions.,"4. Display numerical data in plots on a number line, including dot plots, histograms, and box plots.",P45
6.SP.5,6,Statistics and Probability,Summarize and describe distributions.,"5. Summarize numerical data sets in relation to their context, such as by: a. Reporting the number of observations. b. Describing the nature of the attribute under investigation, including how it was measured and its units of measurement. c. Giving quantitative measures of center (median and/or mean) and variability (interquartile range and/or mean absolute deviation), as well as describing any overall pattern and any striking deviations from the overall pattern with reference to the context in which the data were gathered. d. Relating the choice of measures of center and variability to the shape of the data distribution and the context in which the data were gathered.",P45
7.RP.1,7,Ratios and Proportional Relationships,Analyze proportional relationships and use them to solve real-world and mathematical problems.,"1. Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units.",P48
7.RP.2,7,Ratios and Proportional Relationships,Analyze proportional relationships and use them to solve real-world and mathematical problems.,"2. Recognize and represent proportional relationships between quantities. a. Decide whether two quantities are in a proportional relationship, b. Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships. c. Represent proportional relationships by equations. d. Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",P48
7.RP.3,7,Ratios and Proportional Relationships,Analyze proportional relationships and use them to solve real-world and mathematical problems.,3. Use proportional relationships to solve multistep ratio and percent problems.,P48
7.NS.1,7,The Number System,"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.","1. Apply and extend previous understandings of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram. a. Describe situations in which opposite quantities combine to make 0. b. Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts. c. Understand subtraction of rational numbers as adding the additive inverse, p – q = p + (–q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts. d. Apply properties of operations as strategies to add and subtract rational numbers.","P48, 49"
7.NS.2,7,The Number System,"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.","2. Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers. a. Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (–1)(–1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts. b. Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers, then –(p/q) = (–p)/q = p/(–q). Interpret quotients of rational numbers by describing real-world contexts. c. Apply properties of operations as strategies to multiply and divide rational numbers. d. Convert a rational number to a decimal using long division; know that the decimal form of a rational number terminates in 0s or eventually repeats.","P48, 49"
7.NS.3,7,The Number System,"Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.",3. Solve real-world and mathematical problems involving the four operations with rational numbers.,"P48, 49"
7.EE.1,7,Expressions and Equations,Use properties of operations to generate equivalent expressions.,"1. Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients.",P49
7.EE.2,7,Expressions and Equations,Use properties of operations to generate equivalent expressions.,2. Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related.,P49
7.EE.3,7,Expressions and Equations,Solve real-life and mathematical problems using numerical and algebraic expressions and equations.,"3. Solve multi-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimation strategies.",P49
7.EE.4,7,Expressions and Equations,Solve real-life and mathematical problems using numerical and algebraic expressions and equations.,"4. Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities. a. Solve word problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers. Solve equations of these forms fluently. Compare an algebraic solution to an arithmetic solution, identifying the sequence of the operations used in each approach. b. Solve word problems leading to inequalities of the form px + q > r or px + q < r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality and interpret it in the context of the problem.",P49
7.G.1,7,Geometry,"Draw, construct, and describe geometrical figures and describe the relationships between them.","1. Solve problems involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale.","P49, 50"
7.G.2,7,Geometry,"Draw, construct, and describe geometrical figures and describe the relationships between them.","2. Draw (freehand, with ruler and protractor, and with technology) geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle.","P49, 50"
7.G.3,7,Geometry,"Draw, construct, and describe geometrical figures and describe the relationships between them.","3. Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids.","P49, 50"
7.G.4,7,Geometry,"Solve real-life and mathematical problems involving angle measure, area, surface area, and volume.",4. Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle.,P50
7.G.5,7,Geometry,"Solve real-life and mathematical problems involving angle measure, area, surface area, and volume.","5. Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure.",P50
7.G.6,7,Geometry,"Solve real-life and mathematical problems involving angle measure, area, surface area, and volume.","6. Solve real-world and mathematical problems involving area, volume and surface area of two- and three-dimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms.",P50
7.SP.1,7,Statistics and Probability,Use random sampling to draw inferences about a population.,1. Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences.,P50
7.SP.2,7,Statistics and Probability,Use random sampling to draw inferences about a population.,2. Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions.,P50
7.SP.3,7,Statistics and Probability,Draw informal comparative inferences about two populations.,"3. Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability.",P50
7.SP.4,7,Statistics and Probability,Draw informal comparative inferences about two populations.,4. Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations.,P50
7.SP.5,7,Statistics and Probability,"Investigate chance processes and develop, use, and evaluate probability models.","5. Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indicates an event that is neither unlikely nor likely, and a probability near 1 indicates a likely event.","P50, 51"
7.SP.6,7,Statistics and Probability,"Investigate chance processes and develop, use, and evaluate probability models.","6. Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability.","P50, 51"
7.SP.7,7,Statistics and Probability,"Investigate chance processes and develop, use, and evaluate probability models.","7. Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy. a. Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events. b. Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process.","P50, 51"
7.SP.8,7,Statistics and Probability,"Investigate chance processes and develop, use, and evaluate probability models.","8. Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation. a. Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which the compound event occurs. b. Represent sample spaces for compound events using methods such as organized lists, tables and tree diagrams. For an event described in everyday language, identify the outcomes in the sample space which compose the event. c. Design and use a simulation to generate frequencies for compound events.","P50, 51"
8.NS.1,8,The Number System,"Know that there are numbers that are not rational, and approximate them by rational numbers.","1. Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number.",P54
8.NS.2,8,The Number System,"Know that there are numbers that are not rational, and approximate them by rational numbers.","2. Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions.",P54
8.EE.1,8,Expressions and Equations,Work with radicals and integer exponents.,1. Know and apply the properties of integer exponents to generate equivalent numerical expressions.,P54
8.EE.2,8,Expressions and Equations,Work with radicals and integer exponents.,"2. Use square root and cube root symbols to represent solutions to equations of the form x² = p and x³ = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that √2 is irrational.",P54
8.EE.3,8,Expressions and Equations,Work with radicals and integer exponents.,"3. Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other.",P54
8.EE.4,8,Expressions and Equations,Work with radicals and integer exponents.,"4. Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities. Interpret scientific notation that has been generated by technology.",P54
8.EE.5,8,Expressions and Equations,"Understand the connections between proportional relationships, lines, and linear equations.","5. Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways.",P54
8.EE.6,8,Expressions and Equations,"Understand the connections between proportional relationships, lines, and linear equations.",6. Use similar triangles to explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate plane; derive the equation y = mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b.,P54
8.EE.7,8,Expressions and Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,"7. Solve linear equations in one variable. a. Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers). b. Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms.","P54, 55"
8.EE.8,8,Expressions and Equations,Analyze and solve linear equations and pairs of simultaneous linear equations.,"8. Analyze and solve pairs of simultaneous linear equations. a. Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously. b. Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection. c. Solve real-world and mathematical problems leading to two linear equations in two variables.","P54, 55"
8.F.1,8,Functions,"Define, evaluate, and compare functions.",1. Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output.,P55
8.F.2,8,Functions,"Define, evaluate, and compare functions.","2. Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",P55
8.F.3,8,Functions,"Define, evaluate, and compare functions.","3. Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear.",P55
8.F.4,8,Functions,Use functions to model relationships between quantities.,"4. Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.",P55
8.F.5,8,Functions,Use functions to model relationships between quantities.,5. Describe qualitatively the functional relationship between two quantities by analyzing a graph. Sketch a graph that exhibits the qualitative features of a function that has been described verbally.,P55
8.G.1,8,Geometry,"Understand congruence and similarity using physical models, transparencies, or geometry software.","1. Verify experimentally the properties of rotations, reflections, and translations: a. Lines are taken to lines, and line segments to line segments of the same length. b. Angles are taken to angles of the same measure. c. Parallel lines are taken to parallel lines.","P55, 56"
8.G.2,8,Geometry,"Understand congruence and similarity using physical models, transparencies, or geometry software.","2. Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.","P55, 56"
8.G.3,8,Geometry,"Understand congruence and similarity using physical models, transparencies, or geometry software.","3. Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.","P55, 56"
8.G.4,8,Geometry,"Understand congruence and similarity using physical models, transparencies, or geometry software.","4. Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.","P55, 56"
8.G.5,8,Geometry,"Understand congruence and similarity using physical models, transparencies, or geometry software.","5. Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.","P55, 56"
8.G.6,8,Geometry,Understand and apply the Pythagorean Theorem.,6. Explain a proof of the Pythagorean Theorem and its converse.,P56
8.G.7,8,Geometry,Understand and apply the Pythagorean Theorem.,7. Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,P56
8.G.8,8,Geometry,Understand and apply the Pythagorean Theorem.,8. Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.,P56
8.G.9,8,Geometry,"Solve real-world and mathematical problems involving volume of cylinders, cones, and spheres.","9. Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",P56
8.SP.1,8,Statistics and Probability,Investigate patterns of association in bivariate data.,"1. Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association.",P56
8.SP.2,8,Statistics and Probability,Investigate patterns of association in bivariate data.,"2. Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line.",P56
8.SP.3,8,Statistics and Probability,Investigate patterns of association in bivariate data.,"3. Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept.",P56
8.SP.4,8,Statistics and Probability,Investigate patterns of association in bivariate data.,4. Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables.,P56
N-RN.1,High School — Number and Quantity,The Real Number System,Extend the properties of exponents to rational exponents.,"1. Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents.",P60
N-RN.2,High School — Number and Quantity,The Real Number System,Extend the properties of exponents to rational exponents.,2. Rewrite expressions involving radicals and rational exponents using the properties of exponents.,P60
N-RN.3,High School — Number and Quantity,The Real Number System,Use properties of rational and irrational numbers.,3. Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.,P60
N-Q.1,High School — Number and Quantity,Quantities★,Reason quantitatively and use units to solve problems.,1. Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,P60
N-Q.2,High School — Number and Quantity,Quantities★,Reason quantitatively and use units to solve problems.,2. Define appropriate quantities for the purpose of descriptive modeling.,P60
N-Q.3,High School — Number and Quantity,Quantities★,Reason quantitatively and use units to solve problems.,3. Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,P60
N-CN.1,High School — Number and Quantity,The Complex Number System,Perform arithmetic operations with complex numbers.,"1. Know there is a complex number i such that i² = –1, and every complex number has the form a + bi with a and b real.",P60
N-CN.2,High School — Number and Quantity,The Complex Number System,Perform arithmetic operations with complex numbers.,"2. Use the relation i² = –1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.",P60
N-CN.3,High School — Number and Quantity,The Complex Number System,Perform arithmetic operations with complex numbers.,3. (+) Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.,P60
